Feat,Indi,Pais,CCod,ICod,Year,Value
"Trabajadores familiares que contribuyen, mujeres (% del empleo femenino)",Gender,Argentina,ARG,SL.FAM.WORK.FE.ZS,1990,1.8059999942779497
"Relación entre empleo y población, edades entre 15 y 24 años, mujeres (%) (estimación modelado OIT)",Gender,Argentina,ARG,SL.EMP.1524.SP.FE.ZS,1990,34.6300010681152
"Empleados en agricultura, mujeres (% del empleo femenino)",Gender,Argentina,ARG,SL.AGR.EMPL.FE.ZS,1990,0.137999996542931
"Educación de nivel secundario, alumnos en programas de educación general (% de mujeres)",Gender,Argentina,ARG,SE.SEC.ENRL.GC.FE.ZS,1990,63.526079441040636
"Inscripción escolar, nivel preprimario, varones (% bruto)",Gender,Argentina,ARG,SE.PRE.ENRR.MA,1990,59.037808102336584
"Inscripción escolar, nivel preprimario, mujeres (% bruto)",Gender,Argentina,ARG,SE.PRE.ENRR.FE,1990,64.85606463248156
Rentas totales de los recursos naturales (% del PIB),Environment,Argentina,ARG,NY.GDP.TOTL.RT.ZS,1990,2.6035379614721403
Rentas del petróleo (% del PIB),Environment,Argentina,ARG,NY.GDP.PETR.RT.ZS,1990,2.23088221637832
Renta del gas natural (% del PIB),Environment,Argentina,ARG,NY.GDP.NGAS.RT.ZS,1990,0.16985431709439905
Rentas mineras  (% del PIB),Environment,Argentina,ARG,NY.GDP.MINR.RT.ZS,1990,0.0602599506995371
Rentas forestales (% del PIB),Environment,Argentina,ARG,NY.GDP.FRST.RT.ZS,1990,0.141839328470014
Ahorro ajustado: agotamiento de fuentes de energía (US$ actuales),Environment,Argentina,ARG,NY.ADJ.DNGY.CD,1990,2824932271.07954
Ahorro ajustado: agotamiento de minerales (US$ actuales),Environment,Argentina,ARG,NY.ADJ.DMIN.CD,1990,36410888.1798535
Ahorro ajustado: consumo de capital fijo (US$ actuales),Environment,Argentina,ARG,NY.ADJ.DKAP.CD,1990,10788710268.4131
Ahorro ajustado: agotamiento neto de recursos forestales (US$ a precios actuales),Environment,Argentina,ARG,NY.ADJ.DFOR.CD,1990,147580804.108248
Ahorro ajustado: daño por emisión de dióxido de carbono (US$ actuales),Environment,Argentina,ARG,NY.ADJ.DCO2.CD,1990,981819342.956252
Ahorro ajustado: gasto en educación (% del INB),Environment,Argentina,ARG,NY.ADJ.AEDU.GN.ZS,1990,1.0
Producción pesquera total (toneladas métricas),Environment,Argentina,ARG,ER.FSH.PROD.MT,1990,561157.0
Producción de la pesca de captura (toneladas métricas),Environment,Argentina,ARG,ER.FSH.CAPT.MT,1990,560857.0
Tierras cultivables (% del área de tierra),Environment,Argentina,ARG,AG.LND.ARBL.ZS,1990,9.71063584110732
Tierras agrícolas (% del área de tierra),Environment,Argentina,ARG,AG.LND.AGRI.ZS,1990,46.612879061932496
"Población de 45 a 49 años, varones (% de la población masculina)",Health,Argentina,ARG,SP.POP.4549.MA.5Y,1990,5.123647672923768
"Población de 45 a 49 años, mujeres (% de la población femenina)",Health,Argentina,ARG,SP.POP.4549.FE.5Y,1990,5.0253276095595005
"Población de 40 a 44 años, varones (% de la población masculina)",Health,Argentina,ARG,SP.POP.4044.MA.5Y,1990,5.968297127850653
"Población de 40 a 44 años, mujeres (% de la población femenina)",Health,Argentina,ARG,SP.POP.4044.FE.5Y,1990,5.79547339009897
"Población de 35 a 39 años, varones (% de la población masculina)",Health,Argentina,ARG,SP.POP.3539.MA.5Y,1990,6.478636076085429
"Población de 35 a 39 años, mujeres (% de la población femenina)",Health,Argentina,ARG,SP.POP.3539.FE.5Y,1990,6.3500304624526
"Población de 30 a 34 años, varones (% de la población masculina)",Health,Argentina,ARG,SP.POP.3034.MA.5Y,1990,6.815042908899901
"Población de 30 a 34 años, mujeres (% de la población femenina)",Health,Argentina,ARG,SP.POP.3034.FE.5Y,1990,6.75545747014336
"Población de 25 a 29 años, varones (% de la población masculina)",Health,Argentina,ARG,SP.POP.2529.MA.5Y,1990,7.26665954461375
"Población de 25 a 29 años, mujeres (% de la población femenina)",Health,Argentina,ARG,SP.POP.2529.FE.5Y,1990,7.22330337286132
"Población de 20 a 24 años, varones (% de la población masculina)",Health,Argentina,ARG,SP.POP.2024.MA.5Y,1990,7.7007564337854015
"Población de 20 a 24 años, mujeres (% de la población femenina)",Health,Argentina,ARG,SP.POP.2024.FE.5Y,1990,7.5692576334663295
"Población entre 15 y 64 años de edad, hombres (% del total)",Health,Argentina,ARG,SP.POP.1564.MA.ZS,1990,60.544315799128704
"Población entre 0 y 14 años de edad, hombres (% del total)",Health,Argentina,ARG,SP.POP.0014.MA.ZS,1990,31.9486459275592
Tasa de mortalidad en un año (por cada 1.000 personas),Health,Argentina,ARG,SP.DYN.CDRT.IN,1990,8.163
Poverty gap at $5.50 a day (2011 PPP) (%),Poverty,Argentina,ARG,SI.POV.UMIC.GP,1990,3.85
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),Poverty,Argentina,ARG,SI.POV.UMIC,1990,12.725
Poverty gap at $3.20 a day (2011 PPP) (%),Poverty,Argentina,ARG,SI.POV.LMIC.GP,1990,0.9750000000000001
Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),Poverty,Argentina,ARG,SI.POV.LMIC,1990,3.5250000000000004
Índice de Gini,Poverty,Argentina,ARG,SI.POV.GINI,1990,46.425
"Brecha de pobreza a $1,90 por día (2011 PPA) (%)",Poverty,Argentina,ARG,SI.POV.GAPS,1990,0.5249999999999999
"Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)",Poverty,Argentina,ARG,SI.POV.DDAY,1990,0.8250000000000001
Participación en el ingreso del 20% peor remunerado de la población,Poverty,Argentina,ARG,SI.DST.FRST.20,1990,4.75
Participación en el ingreso del 10% peor remunerado de la población,Poverty,Argentina,ARG,SI.DST.FRST.10,1990,1.7
Participación en el ingreso del 10% mejor remunerado de la población,Poverty,Argentina,ARG,SI.DST.10TH.10,1990,36.05
Participación en el ingreso del 20% mejor remunerado de la población,Poverty,Argentina,ARG,SI.DST.05TH.20,1990,52.0
Participación en el ingreso del cuarto quintilo (20%) de la población en orden decreciente de remuneraciones,Poverty,Argentina,ARG,SI.DST.04TH.20,1990,20.6
Participación en el ingreso del tercer quintilo (20%) de la población en orden decreciente de remuneraciones,Poverty,Argentina,ARG,SI.DST.03RD.20,1990,13.525
Participación en el ingreso del segundo quintilo (20%) de la población en orden decreciente de remuneraciones,Poverty,Argentina,ARG,SI.DST.02ND.20,1990,9.125
"Desempleo, total (% de participación total en la fuerza laboral) (estimación nacional)",Social_protection,Argentina,ARG,SL.UEM.TOTL.NE.ZS,1990,7.05999994277954
"Desempleo, varones (% de participación masculina en la fuerza laboral) (estimación nacional)",Social_protection,Argentina,ARG,SL.UEM.TOTL.MA.NE.ZS,1990,7.130000114440921
"Desempleo, mujeres (% de participación femenina en la fuerza laboral) (estimación nacional)",Social_protection,Argentina,ARG,SL.UEM.TOTL.FE.NE.ZS,1990,6.92999982833862
"Tasa de participación en la fuerza laboral, total (% de la población total mayor de 15 años) (estimación nacional)",Social_protection,Argentina,ARG,SL.TLF.CACT.NE.ZS,1990,53.38000106811521
"Tasa de participación en la fuerza laboral, varones (% de la población masculina mayor de 15 años) (estimación nacional)",Social_protection,Argentina,ARG,SL.TLF.CACT.MA.NE.ZS,1990,78.6800003051758
Proporcin de tasas de participacin laboral femenina y masculina (%) (estimación modelado OIT),Social_protection,Argentina,ARG,SL.TLF.CACT.FM.ZS,1990,59.69245781776999
Proporción de participación en la fuerza laboral de mujeres y varones (%) (estimación nacional),Social_protection,Argentina,ARG,SL.TLF.CACT.FM.NE.ZS,1990,36.9979670786004
"Tasa de población activa, mujeres (% de la población femenina mayor de 15 años) (estimación modelado OIT)",Social_protection,Argentina,ARG,SL.TLF.CACT.FE.ZS,1990,45.457000732421896
"Tasa de participación en la fuerza laboral, mujeres (% de la población femenina mayor de 15 años) (estimación nacional)",Social_protection,Argentina,ARG,SL.TLF.CACT.FE.NE.ZS,1990,29.1100006103516
"Tasa de participación en la fuerza laboral, total (% del total de la población entre 15-64 años) (estimación modelado OIT)",Social_protection,Argentina,ARG,SL.TLF.ACTI.ZS,1990,66.90200042724611
"Tasa de participación en la fuerza laboral, hombres (% de la población masculina entre 15-64 años) (estimación modelado OIT)",Social_protection,Argentina,ARG,SL.TLF.ACTI.MA.ZS,1990,82.4919967651367
"Tasa de participación en la fuerza laboral, mujeres (% de la población femenina entre 15-64 años) (estimación modelado OIT)",Social_protection,Argentina,ARG,SL.TLF.ACTI.FE.ZS,1990,51.981998443603494
Tasa de participación en la fuerza laboral de personas entre 15 y 24 años; total (%) (estimación modelado OIT),Social_protection,Argentina,ARG,SL.TLF.ACTI.1524.ZS,1990,48.715999603271506
"Tasa de participación en la fuerza laboral, hombres (% de la población masculina entre 15-24 años) (estimación modelado OIT)",Social_protection,Argentina,ARG,SL.TLF.ACTI.1524.MA.ZS,1990,56.47900009155271
"Tasa de participación en la fuerza laboral, mujeres (% de la población femenina entre 15-24 años) (estimación modelado OIT)",Social_protection,Argentina,ARG,SL.TLF.ACTI.1524.FE.ZS,1990,41.148998260498
Población entre 15 y 64 años de edad (% del total),Education,Argentina,ARG,SP.POP.1564.TO.ZS,1991,60.288866047945795
Población entre 0 y 14 años de edad (% del total),Education,Argentina,ARG,SP.POP.0014.TO.ZS,1991,30.6791136370507
"Desempleo, varones (% de la población activa masculina) (estimación modelado OIT)",Education,Argentina,ARG,SL.UEM.TOTL.MA.ZS,1991,5.236000061035161
"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",Education,Argentina,ARG,SL.UEM.TOTL.FE.ZS,1991,5.7470002174377415
"Población activa, total",Education,Argentina,ARG,SL.TLF.TOTL.IN,1991,13858142.0
"Educación de nivel secundario, alumnos en programas de educación general",Education,Argentina,ARG,SE.SEC.ENRL.GC,1991,1372812.5
"Educación de nivel secundario, alumnos",Education,Argentina,ARG,SE.SEC.ENRL,1991,2263263.0
"Inscripción escolar, nivel primario, varones (% bruto)",Education,Argentina,ARG,SE.PRM.ENRR.MA,1991,109.81437
"Inscripción escolar, nivel primario, mujeres (% bruto)",Education,Argentina,ARG,SE.PRM.ENRR.FE,1991,108.16306000000002
"Inscripción escolar, nivel primario (% bruto)",Education,Argentina,ARG,SE.PRM.ENRR,1991,108.99739
"Educación de nivel primario, alumnos (% de mujeres)",Education,Argentina,ARG,SE.PRM.ENRL.FE.ZS,1991,49.09594
"Educación de nivel primario, alumnos",Education,Argentina,ARG,SE.PRM.ENRL,1991,5043792.0
"Tasa de finalización de la educación de nivel primario, total (% del grupo etario correspondiente)",Education,Argentina,ARG,SE.PRM.CMPT.ZS,1991,94.9659
"Inscripción escolar, nivel preprimario (% bruto)",Education,Argentina,ARG,SE.PRE.ENRR,1991,48.567009999999996
Proporción de inscripciones de mujeres con respecto a varones en la educación primaria (%),Education,Argentina,ARG,SE.ENR.PRIM.FM.ZS,1991,0.9849600000000001
"Supervivencia hasta los 65 años, varones (% de la cohorte)",Gender,Argentina,ARG,SP.DYN.TO65.MA.ZS,1991,68.3948546
"Supervivencia hasta los 65 años, mujeres (% de la cohorte)",Gender,Argentina,ARG,SP.DYN.TO65.FE.ZS,1991,82.1090268
"Tasa de fertilidad, total (nacimientos por cada mujer)",Gender,Argentina,ARG,SP.DYN.TFRT.IN,1991,2.965
"Esperanza de vida al nacer, varones (años)",Gender,Argentina,ARG,SP.DYN.LE00.MA.IN,1991,68.361
"Esperanza de vida al nacer, mujeres (años)",Gender,Argentina,ARG,SP.DYN.LE00.FE.IN,1991,75.316
"Tasa de mortalidad, adultos, varones (por cada 1.000 varones adultos)",Gender,Argentina,ARG,SP.DYN.AMRT.MA,1991,201.917
"Tasa de mortalidad, adultos, mujeres (por cada 1.000 mujeres adultas)",Gender,Argentina,ARG,SP.DYN.AMRT.FE,1991,107.306
Tasa de fertilidad en adolescentes (nacimientos por cada 1.000 mujeres entre 15 y 19 años de edad),Gender,Argentina,ARG,SP.ADO.TFRT,1991,73.524
"Población activa, mujeres (% de la población activa total)",Gender,Argentina,ARG,SL.TLF.TOTL.FE.ZS,1991,39.868670706361605
"Trabajadores familiares que contribuyen, mujeres (% del empleo femenino)",Gender,Argentina,ARG,SL.FAM.WORK.FE.ZS,1991,1.8059999942779497
"Relación entre empleo y población, edades entre 15 y 24 años, mujeres (%) (estimación modelado OIT)",Gender,Argentina,ARG,SL.EMP.1524.SP.FE.ZS,1991,34.6300010681152
"Empleados en agricultura, mujeres (% del empleo femenino)",Gender,Argentina,ARG,SL.AGR.EMPL.FE.ZS,1991,0.137999996542931
"Educación de nivel secundario, alumnos en programas de educación general (% de mujeres)",Gender,Argentina,ARG,SE.SEC.ENRL.GC.FE.ZS,1991,62.77426990747317
"Inscripción escolar, nivel preprimario, varones (% bruto)",Gender,Argentina,ARG,SE.PRE.ENRR.MA,1991,57.39068983896109
"Inscripción escolar, nivel preprimario, mujeres (% bruto)",Gender,Argentina,ARG,SE.PRE.ENRR.FE,1991,63.70827084967126
Rentas totales de los recursos naturales (% del PIB),Environment,Argentina,ARG,NY.GDP.TOTL.RT.ZS,1991,1.18674724459978
Rentas del petróleo (% del PIB),Environment,Argentina,ARG,NY.GDP.PETR.RT.ZS,1991,0.94556440014239
Renta del gas natural (% del PIB),Environment,Argentina,ARG,NY.GDP.NGAS.RT.ZS,1991,0.13380712040647802
Rentas mineras  (% del PIB),Environment,Argentina,ARG,NY.GDP.MINR.RT.ZS,1991,0.00767360862270267
Rentas forestales (% del PIB),Environment,Argentina,ARG,NY.GDP.FRST.RT.ZS,1991,0.0992037122490864
Ahorro ajustado: agotamiento de fuentes de energía (US$ actuales),Environment,Argentina,ARG,NY.ADJ.DNGY.CD,1991,1663455774.60254
Ahorro ajustado: agotamiento de minerales (US$ actuales),Environment,Argentina,ARG,NY.ADJ.DMIN.CD,1991,7626135.67215972
Ahorro ajustado: consumo de capital fijo (US$ actuales),Environment,Argentina,ARG,NY.ADJ.DKAP.CD,1991,13668518114.4544
Ahorro ajustado: agotamiento neto de recursos forestales (US$ a precios actuales),Environment,Argentina,ARG,NY.ADJ.DFOR.CD,1991,132283988.865649
Ahorro ajustado: daño por emisión de dióxido de carbono (US$ actuales),Environment,Argentina,ARG,NY.ADJ.DCO2.CD,1991,1089462848.22776
Ahorro ajustado: gasto en educación (% del INB),Environment,Argentina,ARG,NY.ADJ.AEDU.GN.ZS,1991,2.1010855
Producción pesquera total (toneladas métricas),Environment,Argentina,ARG,ER.FSH.PROD.MT,1991,642671.0
Producción de la pesca de captura (toneladas métricas),Environment,Argentina,ARG,ER.FSH.CAPT.MT,1991,642321.0
Tierras cultivables (% del área de tierra),Environment,Argentina,ARG,AG.LND.ARBL.ZS,1991,9.74900335807125
Tierras agrícolas (% del área de tierra),Environment,Argentina,ARG,AG.LND.AGRI.ZS,1991,46.6475925296617
"Población de 45 a 49 años, varones (% de la población masculina)",Health,Argentina,ARG,SP.POP.4549.MA.5Y,1991,5.17193316139531
"Población de 45 a 49 años, mujeres (% de la población femenina)",Health,Argentina,ARG,SP.POP.4549.FE.5Y,1991,5.07530287178074
"Población de 40 a 44 años, varones (% de la población masculina)",Health,Argentina,ARG,SP.POP.4044.MA.5Y,1991,5.98080281367134
"Población de 40 a 44 años, mujeres (% de la población femenina)",Health,Argentina,ARG,SP.POP.4044.FE.5Y,1991,5.82127747709358
"Población de 35 a 39 años, varones (% de la población masculina)",Health,Argentina,ARG,SP.POP.3539.MA.5Y,1991,6.43146169036264
"Población de 35 a 39 años, mujeres (% de la población femenina)",Health,Argentina,ARG,SP.POP.3539.FE.5Y,1991,6.32482624056803
"Población de 30 a 34 años, varones (% de la población masculina)",Health,Argentina,ARG,SP.POP.3034.MA.5Y,1991,6.773532705433098
"Población de 30 a 34 años, mujeres (% de la población femenina)",Health,Argentina,ARG,SP.POP.3034.FE.5Y,1991,6.72989429198889
"Población de 25 a 29 años, varones (% de la población masculina)",Health,Argentina,ARG,SP.POP.2529.MA.5Y,1991,7.212628583248839
"Población de 25 a 29 años, mujeres (% de la población femenina)",Health,Argentina,ARG,SP.POP.2529.FE.5Y,1991,7.1774931928550805
"Población de 20 a 24 años, varones (% de la población masculina)",Health,Argentina,ARG,SP.POP.2024.MA.5Y,1991,7.713929917421429
"Población de 20 a 24 años, mujeres (% de la población femenina)",Health,Argentina,ARG,SP.POP.2024.FE.5Y,1991,7.58002235284783
"Población entre 15 y 64 años de edad, hombres (% del total)",Health,Argentina,ARG,SP.POP.1564.MA.ZS,1991,60.5377763235364
"Población entre 0 y 14 años de edad, hombres (% del total)",Health,Argentina,ARG,SP.POP.0014.MA.ZS,1991,31.8705249657379
Tasa de mortalidad en un año (por cada 1.000 personas),Health,Argentina,ARG,SP.DYN.CDRT.IN,1991,8.112
Poverty gap at $5.50 a day (2011 PPP) (%),Poverty,Argentina,ARG,SI.POV.UMIC.GP,1991,4.5
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),Poverty,Argentina,ARG,SI.POV.UMIC,1991,14.2
Poverty gap at $3.20 a day (2011 PPP) (%),Poverty,Argentina,ARG,SI.POV.LMIC.GP,1991,1.3
Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),Poverty,Argentina,ARG,SI.POV.LMIC,1991,4.4
Índice de Gini,Poverty,Argentina,ARG,SI.POV.GINI,1991,46.8
"Brecha de pobreza a $1,90 por día (2011 PPA) (%)",Poverty,Argentina,ARG,SI.POV.GAPS,1991,0.7
"Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)",Poverty,Argentina,ARG,SI.POV.DDAY,1991,1.1
Participación en el ingreso del 20% peor remunerado de la población,Poverty,Argentina,ARG,SI.DST.FRST.20,1991,4.8
Participación en el ingreso del 10% peor remunerado de la población,Poverty,Argentina,ARG,SI.DST.FRST.10,1991,1.7
Participación en el ingreso del 10% mejor remunerado de la población,Poverty,Argentina,ARG,SI.DST.10TH.10,1991,36.6
Participación en el ingreso del 20% mejor remunerado de la población,Poverty,Argentina,ARG,SI.DST.05TH.20,1991,52.5
Participación en el ingreso del cuarto quintilo (20%) de la población en orden decreciente de remuneraciones,Poverty,Argentina,ARG,SI.DST.04TH.20,1991,20.3
Participación en el ingreso del tercer quintilo (20%) de la población en orden decreciente de remuneraciones,Poverty,Argentina,ARG,SI.DST.03RD.20,1991,13.3
Participación en el ingreso del segundo quintilo (20%) de la población en orden decreciente de remuneraciones,Poverty,Argentina,ARG,SI.DST.02ND.20,1991,9.1
"Desempleo, total (% de participación total en la fuerza laboral) (estimación nacional)",Social_protection,Argentina,ARG,SL.UEM.TOTL.NE.ZS,1991,5.44000005722046
"Desempleo, varones (% de participación masculina en la fuerza laboral) (estimación nacional)",Social_protection,Argentina,ARG,SL.UEM.TOTL.MA.NE.ZS,1991,5.32999992370605
"Desempleo, mujeres (% de participación femenina en la fuerza laboral) (estimación nacional)",Social_protection,Argentina,ARG,SL.UEM.TOTL.FE.NE.ZS,1991,5.849999904632571
"Tasa de participación en la fuerza laboral, total (% de la población total mayor de 15 años) (estimación nacional)",Social_protection,Argentina,ARG,SL.TLF.CACT.NE.ZS,1991,56.689998626709006
"Tasa de participación en la fuerza laboral, varones (% de la población masculina mayor de 15 años) (estimación nacional)",Social_protection,Argentina,ARG,SL.TLF.CACT.MA.NE.ZS,1991,75.0800018310547
Proporcin de tasas de participacin laboral femenina y masculina (%) (estimación modelado OIT),Social_protection,Argentina,ARG,SL.TLF.CACT.FM.ZS,1991,60.819935161647905
Proporción de participación en la fuerza laboral de mujeres y varones (%) (estimación nacional),Social_protection,Argentina,ARG,SL.TLF.CACT.FM.NE.ZS,1991,52.743736692001114
"Tasa de población activa, mujeres (% de la población femenina mayor de 15 años) (estimación modelado OIT)",Social_protection,Argentina,ARG,SL.TLF.CACT.FE.ZS,1991,46.1969985961914
"Tasa de participación en la fuerza laboral, mujeres (% de la población femenina mayor de 15 años) (estimación nacional)",Social_protection,Argentina,ARG,SL.TLF.CACT.FE.NE.ZS,1991,39.5999984741211
"Tasa de participación en la fuerza laboral, total (% del total de la población entre 15-64 años) (estimación modelado OIT)",Social_protection,Argentina,ARG,SL.TLF.ACTI.ZS,1991,67.24900054931639
"Tasa de participación en la fuerza laboral, hombres (% de la población masculina entre 15-64 años) (estimación modelado OIT)",Social_protection,Argentina,ARG,SL.TLF.ACTI.MA.ZS,1991,82.31300354003909
"Tasa de participación en la fuerza laboral, mujeres (% de la población femenina entre 15-64 años) (estimación modelado OIT)",Social_protection,Argentina,ARG,SL.TLF.ACTI.FE.ZS,1991,52.845001220703104
Tasa de participación en la fuerza laboral de personas entre 15 y 24 años; total (%) (estimación modelado OIT),Social_protection,Argentina,ARG,SL.TLF.ACTI.1524.ZS,1991,48.132999420165994
"Tasa de participación en la fuerza laboral, hombres (% de la población masculina entre 15-24 años) (estimación modelado OIT)",Social_protection,Argentina,ARG,SL.TLF.ACTI.1524.MA.ZS,1991,55.9469985961914
"Tasa de participación en la fuerza laboral, mujeres (% de la población femenina entre 15-24 años) (estimación modelado OIT)",Social_protection,Argentina,ARG,SL.TLF.ACTI.1524.FE.ZS,1991,40.5050010681152
Población entre 15 y 64 años de edad (% del total),Education,Argentina,ARG,SP.POP.1564.TO.ZS,1992,60.40590258211571
Población entre 0 y 14 años de edad (% del total),Education,Argentina,ARG,SP.POP.0014.TO.ZS,1992,30.4523478939004
"Desempleo, varones (% de la población activa masculina) (estimación modelado OIT)",Education,Argentina,ARG,SL.UEM.TOTL.MA.ZS,1992,6.1230001449585
"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",Education,Argentina,ARG,SL.UEM.TOTL.FE.ZS,1992,6.71099996566772
"Población activa, total",Education,Argentina,ARG,SL.TLF.TOTL.IN,1992,14149418.0
"Educación de nivel secundario, alumnos en programas de educación general",Education,Argentina,ARG,SE.SEC.ENRL.GC,1992,1559998.0
"Educación de nivel secundario, alumnos",Education,Argentina,ARG,SE.SEC.ENRL,1992,2278115.6666666665
"Inscripción escolar, nivel primario, varones (% bruto)",Education,Argentina,ARG,SE.PRM.ENRR.MA,1992,111.75099700563946
"Inscripción escolar, nivel primario, mujeres (% bruto)",Education,Argentina,ARG,SE.PRM.ENRR.FE,1992,110.35583754564873
"Inscripción escolar, nivel primario (% bruto)",Education,Argentina,ARG,SE.PRM.ENRR,1992,109.65521666666666
"Educación de nivel primario, alumnos (% de mujeres)",Education,Argentina,ARG,SE.PRM.ENRL.FE.ZS,1992,49.065494
"Educación de nivel primario, alumnos",Education,Argentina,ARG,SE.PRM.ENRL,1992,5089432.333333333
"Tasa de finalización de la educación de nivel primario, total (% del grupo etario correspondiente)",Education,Argentina,ARG,SE.PRM.CMPT.ZS,1992,92.79884
"Inscripción escolar, nivel preprimario (% bruto)",Education,Argentina,ARG,SE.PRE.ENRR,1992,48.28422
Proporción de inscripciones de mujeres con respecto a varones en la educación primaria (%),Education,Argentina,ARG,SE.ENR.PRIM.FM.ZS,1992,0.9926838095238095
"Supervivencia hasta los 65 años, varones (% de la cohorte)",Gender,Argentina,ARG,SP.DYN.TO65.MA.ZS,1992,68.798524
"Supervivencia hasta los 65 años, mujeres (% de la cohorte)",Gender,Argentina,ARG,SP.DYN.TO65.FE.ZS,1992,82.26884
"Tasa de fertilidad, total (nacimientos por cada mujer)",Gender,Argentina,ARG,SP.DYN.TFRT.IN,1992,2.925
"Esperanza de vida al nacer, varones (años)",Gender,Argentina,ARG,SP.DYN.LE00.MA.IN,1992,68.586
"Esperanza de vida al nacer, mujeres (años)",Gender,Argentina,ARG,SP.DYN.LE00.FE.IN,1992,75.515
"Tasa de mortalidad, adultos, varones (por cada 1.000 varones adultos)",Gender,Argentina,ARG,SP.DYN.AMRT.MA,1992,199.25599999999997
"Tasa de mortalidad, adultos, mujeres (por cada 1.000 mujeres adultas)",Gender,Argentina,ARG,SP.DYN.AMRT.FE,1992,106.516
Tasa de fertilidad en adolescentes (nacimientos por cada 1.000 mujeres entre 15 y 19 años de edad),Gender,Argentina,ARG,SP.ADO.TFRT,1992,73.555
"Población activa, mujeres (% de la población activa total)",Gender,Argentina,ARG,SL.TLF.TOTL.FE.ZS,1992,40.330351396785396
"Trabajadores familiares que contribuyen, mujeres (% del empleo femenino)",Gender,Argentina,ARG,SL.FAM.WORK.FE.ZS,1992,2.02300000190735
"Relación entre empleo y población, edades entre 15 y 24 años, mujeres (%) (estimación modelado OIT)",Gender,Argentina,ARG,SL.EMP.1524.SP.FE.ZS,1992,33.1160011291504
"Empleados en agricultura, mujeres (% del empleo femenino)",Gender,Argentina,ARG,SL.AGR.EMPL.FE.ZS,1992,0.32400000095367404
