Feat,Indi,Pais,CCod,ICod,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Gasto por alumno, nivel terciario (% del PIB per cápita)",Education,Argentina,ARG,SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.19353,17.655920000000005,17.333070000000006,16.08829,13.06567,10.37139,10.90728,11.70836,13.07729,14.23457,14.98778,17.68235,16.128079999999994,15.94486,16.316329999999994,16.77133,16.26738,17.248639999999998,16.08373,16.91251,,
Porcentaje del gasto público en educación secundaria (% del gasto público en educación),Education,Argentina,ARG,SE.XPD.SECO.ZS,30.28571,,31.97026,33.01663,23.76396,30.86385,36.55797000000001,29.68849,26.658890000000003,28.08603,26.625290000000003,,26.16797,27.6454,26.94889,37.82183,43.64731,42.37857,,45.12031,43.72448,,,,,,33.63842,,33.21242,36.90678,35.70325,36.62538,39.24177,37.2599,37.79909,41.68709000000001,40.02116,39.24554000000001,39.19364,40.77314000000001,39.64997,40.47189,40.43839000000001,41.52728,41.47732,41.33272,40.93612,39.5394,,
"Gasto por alumno, nivel secundario (% del PIB per cápita)",Education,Argentina,ARG,SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.11422,16.600920000000002,15.74535,16.89971,15.21159,12.85688,12.94152,16.11186,16.7607,17.83472,19.1992,22.23454,19.26875,20.64525,20.75691,21.62494,21.31954,22.87436,21.59171,20.6226,,
Porcentaje del gasto público en educación primaria (% del gasto público en educación),Education,Argentina,ARG,SE.XPD.PRIM.ZS,28.0,,27.69517,31.71021,32.3764,25.97148,25.0985,40.324,40.54391,41.44551,40.55377,,42.27821,39.95483,39.06241,5.1061,5.04961,4.7429,,2.96848,3.2637400000000003,,,,,,38.74074,,35.07048,36.34503,35.69129,37.91883,35.4339,38.0148,36.69546,34.19573,35.04241,35.47537,35.11319,32.80265,33.05494,31.96866,31.79885,30.03234,30.06039,30.04134,30.07402,29.59458,,
"Gasto por alumno, nivel primario (% del PIB per cápita)",Education,Argentina,ARG,SE.XPD.PRIM.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.95099,12.42388,12.2987,13.80064,10.75649,10.47639,10.00318,10.53523,11.53286,12.6881,13.70256,14.80287,13.68048,14.20816,14.56387,14.38084,14.38654,15.64309,15.2222,14.97726,,
"Gasto corriente en educación, total (% del gasto total en instituciones públicas)",Education,Argentina,ARG,SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.34345,,,98.5354,99.06062,99.18782,99.15782,,97.51345,96.79376,96.14725,96.04967,95.7805,,95.07554,94.14614,93.02701,89.22708,89.19338,89.09376,,
"Gasto corriente en educación, nivel terciario (% del gasto total en instituciones de educación de nivel terciario)",Education,Argentina,ARG,SE.XPD.CTER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.86877,,,99.18085,99.06662,99.0628,99.84138,,98.86171,99.08409,98.83676,98.64086,98.56399,,94.73586,97.10962,97.25044,95.50084,95.70141,95.44546,,
"Gasto corriente en educación, nivel secundario (% del gasto total en instituciones de educación de nivel secundario)",Education,Argentina,ARG,SE.XPD.CSEC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.54905,,,98.47993,98.97834,99.31154,99.05556,99.25755,97.3783,96.2903,96.03195,95.38204,95.22258,90.20495,94.34095,90.89157,88.79573,86.41627,86.32913,86.17238,,
"Gasto corriente en educación, nivel primario (% del gasto total en instituciones de educación de nivel primario)",Education,Argentina,ARG,SE.XPD.CPRM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.35288,,,98.32687,99.19537,99.14469,98.9684,98.87881,97.05691,96.16778,94.93315,95.42943,94.91859,94.74662,95.91955,96.13517,95.18103,88.72745,88.68205999999998,88.36084,,
"Educacin terciaria, profesores (% de mujeres)",Education,Argentina,ARG,SE.TER.TCHR.FE.ZS,30.64911,34.5371,35.30063,34.92198,37.4452,39.0784,40.00564,38.28471,40.06419,40.25044000000001,43.31165,43.98052,43.62563,45.86996,46.26343,46.24394,47.29728,50.47446,,,,,,,,,,,52.76797,53.97854,54.40424,49.10257,50.1263,,50.36258,,53.15329000000001,,,48.56448,,,,,,,,,,
"Inscripción escolar, nivel terciario, varones (% bruto)",Education,Argentina,ARG,SE.TER.ENRR.MA,15.02166,16.709,17.67386,21.29658,24.89581,28.332590000000003,28.39589,25.33229,21.51326,22.55651,21.69407,21.71347,22.45723,23.11603,26.94925,33.88868,35.39048,36.87578,,,,,,,,,,,,37.54072,42.87786,48.15512,51.01697,52.46652,54.60749000000001,52.59029,53.6077,53.17609,54.44815,56.4313,58.88202,60.00511,60.60361,60.34128000000001,62.19477,64.05334,65.87956,67.77473,,
"Inscripción escolar, nivel terciario, mujeres (% bruto)",Education,Argentina,ARG,SE.TER.ENRR.FE,11.42923,13.874629999999998,15.2736,17.92035,20.59128,25.62282,25.75785,22.83757,21.24899,21.90796,21.77483,24.47717,25.18951,26.54506,30.38547,37.08418,39.42933,41.52198,,,,,,,,,,,,60.06247,65.00862,69.8558,74.50171999999998,77.94868000000002,76.45075,75.46853,80.48403,79.81721,81.85146,84.18764,87.82828,92.92044,94.67601,96.55508,100.30122,104.51591,109.16721,112.79844,,
"Inscripción escolar, nivel terciario (% bruto)",Education,Argentina,ARG,SE.TER.ENRR,13.24435,15.306029999999998,16.48376,19.61808,22.74869,26.97598,27.07182,24.07762,21.38019,22.22991,21.73469,23.10263,23.83,24.83893,28.67647,35.49595,37.42499,39.22065,,,,38.11911,,,37.00133,,,,46.9607,48.83172,53.96481,59.01155,62.74873,65.17626,65.48536999999999,63.96666999999999,66.96473,66.41163,68.05695,70.20645999999999,73.2314,76.2974,77.44629,78.2239,80.99580999999998,84.00200000000002,87.21345,89.95852,,
"Relación alumno-maestro, nivel terciario",Education,Argentina,ARG,SE.TER.ENRL.TC.ZS,12.21845,11.93067,11.78657,10.87732,11.85968,13.20096,15.41762,12.62235,11.27321,11.23661,10.62254,11.07534,10.35542,10.35187,10.54858,11.96827,12.90108,12.73912,,,,,,,,,,,13.14669,15.76137,15.67528,14.77395,15.94887,,14.94705,,15.47501,,,16.776770000000006,,,,,,,,,,
Adolescentes que no asisten a la escuela (% de adolescentes en edad de asistir al ciclo inferior de la escuela secundaria),Education,Argentina,ARG,SE.SEC.UNER.LO.ZS,,,,,35.03887,32.94034,,,,,,,,,,,,,,,,,,,,,,,3.5704300000000004,2.62184,0.85134,1.50524,2.6107400000000003,2.83543,1.76869,2.01693,3.10171,2.7368,2.61453,2.42865,1.66972,1.98483,1.1111799999999998,0.77256,0.5112800000000001,0.38344,0.12941,0.007790000000000002,,
"Adolescentes que no asisten a la escuela, varones (% de varones en edad de asistir al ciclo inferior de la escuela secundaria)",Education,Argentina,ARG,SE.SEC.UNER.LO.MA.ZS,,,,,35.98908,33.72943,,,,,,,,,,,,,,,,,,,,,,,3.57211,3.88188,1.67982,2.53342,3.4422,3.99283,,,5.30944,5.06928,,,,,,,,,0.13827,,,
"Adolescentes que no asisten a la escuela, mujeres (% de mujeres en edad de asistir al ciclo inferior de la escuela secundaria)",Education,Argentina,ARG,SE.SEC.UNER.LO.FE.ZS,,,,,34.08428,32.151070000000004,,,,,,,,,,,,,,,,,,,,,,,3.5687300000000004,1.33764,0.006490000000000001,0.45542,1.7603799999999998,1.64959,,,0.82886,0.33203,,,,,,,,,0.12025,,,
"Educación de nivel secundario, maestros (% de mujeres)",Education,Argentina,ARG,SE.SEC.TCHR.FE.ZS,61.85351,61.74666,61.78318,61.91079000000001,62.363,62.53344,62.17001,63.58785,63.79702,63.61505,,,,65.34402,65.48857,65.69865,66.52422,66.48683,66.89564,,,,,,65.60884,,,,69.01915,,69.01931,66.04064,66.03232,66.99046,67.85429,67.55423,69.10342,68.64826,68.3211,,,,,,,,,,,
"Educación de nivel secundario, maestras",Education,Argentina,ARG,SE.SEC.TCHR.FE,83047.0,84751.0,87236.0,91927.0,96962.0,101216.0,105505.0,110461.0,110395.0,113668.0,,,,126474.0,140120.0,151168.0,158468.0,176226.0,186101.0,,,,,,156668.0,,,,177930.0,,214873.0,147513.0,151319.0,161857.0,172394.0,173536.0,188586.0,196172.0,221331.0,,,,,,,,,,,
"Educación de nivel secundario, maestros",Education,Argentina,ARG,SE.SEC.TCHR,134264.0,137256.0,141197.0,148483.0,155480.0,161859.0,169704.0,173714.0,173041.0,178681.0,,,,193551.0,213961.0,230093.0,238211.0,265054.0,278196.0,,,,,,238791.0,,,,257798.0,,311323.0,223367.0,229159.0,241612.0,254065.0,256884.0,272904.0,285764.0,323957.0,,,,,,,,,,,
Transición a la escuela secundaria (%),Education,Argentina,ARG,SE.SEC.PROG.ZS,29.73252,,,28.747090000000004,29.05048,,,,,,,,,,,,,,,,,,,,,,,,97.21217,98.20092,97.69371,97.39566,96.5178,96.70928,95.86633,95.38558,94.96292,95.16004,95.31151,95.87691,96.17801,96.62407,96.84399,97.31649,97.40726,99.48824,99.85158,,,
"Transición a la escuela secundaria, varones (%)",Education,Argentina,ARG,SE.SEC.PROG.MA.ZS,25.22491,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.41275,96.46113,95.43516,95.26872,94.11092,93.48618,91.83626,90.90037,90.08647,90.47356,90.79982,91.91828,92.51746,93.38344,93.82696,94.75433,94.93167,98.99978,100.0,,,
"Transición a la escuela secundaria, mujeres (%)",Education,Argentina,ARG,SE.SEC.PROG.FE.ZS,33.97587,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.00418,99.96619,100.0,99.56317,98.97367,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.69746,,,
"Inscripción escolar, nivel secundario, sector privado (% del total del nivel secundario)",Education,Argentina,ARG,SE.SEC.PRIV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.01005,24.81191,25.09398,25.05358,24.90442,24.94298,25.4447,25.89933,26.1405,26.22894,26.33421,26.02571,25.36574,25.45697,26.10511,26.231070000000006,26.15356,26.51714,26.54934,26.8304,,
"Inscripción escolar, nivel secundario, varones (% neto)",Education,Argentina,ARG,SE.SEC.NENR.MA,,,,,38.48482,39.85312,,,,,,,,,,,,,,,,,,,,,,,72.26102,74.09156,76.6439,77.00816999999998,76.86968,76.25386,75.70999,74.68905,74.10481,73.64578,74.25695999999998,76.37201,78.50932,79.71058000000002,82.54345,84.18274,85.02421,86.0714,87.66393000000002,88.61459,,
"Inscripción escolar, nivel secundario, mujeres (% neto)",Education,Argentina,ARG,SE.SEC.NENR.FE,,,,,42.5199,44.09006,,,,,,,,,,,,,,,,,,,,,,,76.5898,78.473,80.36121999999997,80.92482,80.78871,80.82155,81.42915,81.26323000000002,81.61114,81.83627,83.17860999999998,84.88917,85.80615999999998,87.46214,89.35661,90.11215,90.33155,90.89313,92.18343,93.0542,,
"Inscripción escolar, nivel secundario (% neto)",Education,Argentina,ARG,SE.SEC.NENR,,,,,40.49867,41.97323,,,,,,,,,,,,,,,,,,,,,,,74.40915,76.26566,78.48781,78.94955,78.81052,78.51365,78.53653,77.93493000000002,77.80917,77.68491,78.65304,80.56529,82.09918,83.52317,85.89363,87.09754000000002,87.6325,88.44048000000002,89.88468,90.79605,,
"Inscripción escolar, nivel secundario, varones (% bruto)",Education,Argentina,ARG,SE.SEC.ENRR.MA,41.97435,43.3274,45.57003,47.74415,50.42842,51.67322,52.8999,52.37835,52.01879,51.96324,52.57218,53.58768000000001,56.37478,58.03904,62.55983000000001,66.88609,67.33873,67.80544,68.11915,,,,,,,,75.24929,72.38459,79.42217,89.90618,93.62153,94.40511,93.48537,92.18127,91.04692,88.82039,87.36027,87.02944000000002,87.90687,91.4523,94.99504,96.61754,99.12242,101.233,102.59281,103.84397,106.08818,106.51183,,
"Inscripción escolar, nivel secundario, mujeres (% bruto)",Education,Argentina,ARG,SE.SEC.ENRR.FE,47.74958,48.38709,49.56138,52.10108,54.84593,56.71143000000001,58.36965,58.71789,58.89726999999999,58.60336,59.81151,61.3053,61.98775,61.53592,68.00782,73.53793,72.83252,71.81034,72.50761999999997,,,,,,,,82.54391,78.34238,83.12272,95.34541,98.28871,99.32843,98.35929,97.8013,98.04832,96.80099,96.38415,96.93862,98.72424,101.94808,104.15448,106.61547,107.97714,108.98023,109.59811,110.15841,110.91987,111.03346,,
"Inscripción escolar, nivel secundario (% bruto)",Education,Argentina,ARG,SE.SEC.ENRR,44.81985,45.82767,47.549,49.91177,52.63313,54.194280000000006,55.63601,55.5457,55.44948,55.26866999999999,56.16939,57.42667,59.169880000000006,59.78238,65.27954,70.21240999999999,70.09199,69.81563,70.32321999999999,,71.48958,72.31279,,,69.64543,,78.87085,75.34276,81.25854,92.60516,95.93661,96.84547,95.8991,94.96169,94.50717,92.76067,91.81353,91.91613,93.23705,96.61971,99.50126,101.535,103.47648,105.04141,106.03556,106.94647,108.46233,108.7336,,
"Educación de nivel secundario, alumnos en programas vocacionales (% de mujeres)",Education,Argentina,ARG,SE.SEC.ENRL.VO.FE.ZS,46.52643,46.44541,46.82247,47.31212,47.19174,47.55167,47.59813,47.62928,47.79201,47.30468,46.53441,46.51857,44.70842,43.4129,45.34849000000001,46.16383,44.06731,43.50934,43.39944000000001,,,,,,,,,,43.03964000000001,,,,,,,,,,,,,,,,,,,,,
"Educación de nivel secundario, alumnos en programas vocacionales",Education,Argentina,ARG,SE.SEC.ENRL.VO,571544.0,602869.0,648413.0,703063.0,757425.0,788864.0,837659.0,846200.0,850956.0,855222.0,816600.0,838304.0,831481.0,851809.0,979133.0,1084531.0,1087214.0,1127096.0,1162863.0,,,,,,,,,,518357.0,,,,,,,,,,,,,,,,,,,,,
"Proporción alumnos-maestro, nivel secundario",Education,Argentina,ARG,SE.SEC.ENRL.TC.ZS,7.27655,7.36992,7.5186899999999985,7.58144,7.70343,7.679880000000002,7.56055,7.4151,7.472639999999998,7.25784,,,,7.57642,7.644639999999999,7.823139999999999,7.76125,7.1597100000000005,7.096139999999999,,,,,,9.66461,,,,12.41851,,12.30048,17.48206,17.04147,16.149910000000002,15.42813,15.1209,14.19154,13.63714,12.23531,,,,,,,,,,,
"Educación de nivel secundario, alumnos en programas de educación general (% de mujeres)",Education,Argentina,ARG,SE.SEC.ENRL.GC.FE.ZS,60.90026999999999,60.62731,59.30209,59.62044,60.28971,60.71943,61.66274,62.74556,62.95641,63.39271,63.12147,63.55379,62.60866,62.27004,61.93937,61.78838,63.50701,63.50097,63.80304,,,,,,,,,,52.25498,51.08887,50.81943,50.83819,50.79382,50.95283,51.27406,51.52376,51.80645,52.00948,52.17416,51.94837,51.49829,51.6458,51.31096,51.00165,50.7961,50.60901,50.25036,50.17572,,
"Educación de nivel secundario, alumnos en programas de educación general",Education,Argentina,ARG,SE.SEC.ENRL.GC,405435.0,408697.0,413203.0,422652.0,440304.0,454194.0,445397.0,441907.0,442117.0,441617.0,510080.0,528140.0,594167.0,614615.0,656521.0,715518.0,761601.0,770615.0,811256.0,,,,,,,,,,2683111.0,3665865.0,3829421.0,3904915.0,3905207.0,3902011.0,3919748.0,3884317.0,3872929.0,3897005.0,3963715.0,4106048.0,4213136.0,4279426.0,4346391.0,4406046.0,4450741.0,4501734.0,4583002.0,4612663.0,,
"Educación de nivel secundario, alumnos (% de mujeres)",Education,Argentina,ARG,SE.SEC.ENRL.FE.ZS,52.4914,52.17524,51.6798,51.9333,52.00676,52.36296,52.48048000000001,52.81518000000001,52.9769,52.78319000000001,52.91178000000001,53.1028,52.1687,51.3164,52.00776,52.37457,52.0753,51.62746,51.78421,,,,,,,,51.9591,51.62891,50.7629,51.08887,50.81943,50.83819,50.79382,50.95283,51.27406,51.52376,51.80645,52.00948,52.17416,51.94837,51.49829,51.6458,51.31096,51.00165,50.7961,50.60901,50.25036,50.17572,,
"Educación de nivel secundario, alumnos",Education,Argentina,ARG,SE.SEC.ENRL,976979.0,1011566.0,1061616.0,1125715.0,1197729.0,1243058.0,1283056.0,1288107.0,1293073.0,1296839.0,1326680.0,1366444.0,1425648.0,1466424.0,1635654.0,1800049.0,1848815.0,1897711.0,1974119.0,,2160410.0,2263263.0,,,2307821.0,,2594329.0,2463608.0,3201468.0,3665865.0,3829421.0,3904915.0,3905207.0,3902011.0,3919748.0,3884317.0,3872929.0,3897005.0,3963715.0,4106048.0,4213136.0,4279426.0,4346391.0,4406046.0,4450741.0,4501734.0,4583002.0,4612663.0,,
"Educación de nivel secundario, duración (años)",Education,Argentina,ARG,SE.SEC.DURS,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
"Tasa de finalización del ciclo inferior de la educación secundaria, total (% del grupo etario pertinente)",Education,Argentina,ARG,SE.SEC.CMPT.LO.ZS,16.83986,16.04871,,,17.35644,18.04843,,,,,,,,,,,,,,,,,,,,,,,,80.33261,85.19104,85.56631999999998,85.19426999999997,80.87043,79.16549,80.16696,76.5989,74.76325,76.43555,77.73371,81.54738,85.26944,86.21025,88.45621,88.91632,90.11586,89.20531,89.81704,,
"Tasa de finalización del ciclo inferior de la educación secundaria, varones (% del grupo etario pertinente)",Education,Argentina,ARG,SE.SEC.CMPT.LO.MA.ZS,12.32288,12.1894,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.92171,83.01126,83.42716,83.09804,78.57634,76.34778,76.98340999999998,73.5894,71.70626999999998,73.51436,75.02335,79.35365,83.20079,84.13332,86.63574,87.27703000000002,88.48775,85.32629,86.18338,,
"Tasa de finalización del ciclo inferior de la educación secundaria, mujeres (% del grupo etario pertinente)",Education,Argentina,ARG,SE.SEC.CMPT.LO.FE.ZS,21.49083,19.99918,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.78451,87.40907,87.74586,87.33372,83.21642,82.05272,83.43516,79.6919,77.91037,79.44771,80.53164,83.81447,87.40838000000002,88.35896,90.34052,90.61367,91.80214,93.22198,93.57975,,
Edad de ingreso a la escuela secundaria (años),Education,Argentina,ARG,SE.SEC.AGES,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Niños que no asisten a la escuela (% de niños y niñas en edad de asistir a la escuela primaria),Education,Argentina,ARG,SE.PRM.UNER.ZS,4.87265,,,,3.37747,3.67225,,,,,,,,,,,,4.54245,,,,3.8241,,,,,,0.0,0.2657,0.16547,0.43164,0.36526,0.32845,0.33771,0.63966,0.44143,0.26663000000000003,0.12832000000000002,0.18277,0.20719,0.60373,0.5659,0.57176,0.40809,0.09804,0.0563,0.45239,0.43269,,
"Niños que no asisten a la escuela, varones (% de niños en edad de asistir a la escuela primaria)",Education,Argentina,ARG,SE.PRM.UNER.MA.ZS,5.83665,,,,3.08819,3.44181,,,,,,,,,,,,,,,,3.65885,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Niños que no asisten a la escuela, nivel primario, varones",Education,Argentina,ARG,SE.PRM.UNER.MA,94757.0,,,,51880.0,58367.0,,,,,,,,,,,,,,,,85545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Niños que no asisten a la escuela, mujeres (% de niñas en edad de asistir a la escuela primaria)",Education,Argentina,ARG,SE.PRM.UNER.FE.ZS,3.87963,,,,3.67131,3.90624,,,,,,,,,,,,,,,,3.99286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Niños que no asisten a la escuela, nivel primario, mujeres",Education,Argentina,ARG,SE.PRM.UNER.FE,61145.0,,,,60719.0,65236.0,,,,,,,,,,,,,,,,91413.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Niños que no asisten a la escuela, nivel primario",Education,Argentina,ARG,SE.PRM.UNER,155902.0,,,,112599.0,123603.0,,,,,,,,,,,,207552.0,,,,176958.0,,,,,,0.0,11114.0,6971.0,18285.0,15555.0,14023.0,14410.0,27193.0,18656.0,11212.0,5382.0,7668.0,8719.0,25533.0,24042.0,24382.0,17457.0,4205.0,2420.0,19510.0,18743.0,,
"Total de inscripciones, nivel primario, varones (% neto)",Education,Argentina,ARG,SE.PRM.TENR.MA,94.16335,,,,96.91181,96.55819,,,,,,,,,,,,,,,,96.34115,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total de inscripciones, nivel primario, mujeres (% neto)",Education,Argentina,ARG,SE.PRM.TENR.FE,96.12037,,,,96.32869,96.09376,,,,,,,,,,,,,,,,96.00714,,,,,,,,,,,,,,,,,,,,,,,,,,,,
